Timestamp,FlowRate,TotalVol,AvgFlowRate
2026-02-16 15:23:48,0.0,16.67,0.82
2026-02-16 15:23:53,0.0,16.67,0.66
2026-02-16 15:23:58,0.0,16.67,0.55
2026-02-16 15:24:07,0.0,0.0,0.0
2026-02-16 15:24:12,0.0,0.0,0.0
2026-02-16 15:24:17,0.0,0.0,0.0
2026-02-16 15:24:22,0.0,0.0,0.0
2026-02-16 15:24:27,0.0,0.0,0.0
2026-02-16 15:24:32,1.2,100.0,3.31
2026-02-16 15:24:37,0.0,100.0,2.84
2026-02-16 15:24:42,0.0,100.0,2.48
2026-02-16 15:24:59,0.0,0.0,0.0
2026-02-16 15:25:04,0.02,1.67,0.16
2026-02-16 15:25:09,0.14,13.33,0.88
2026-02-16 15:25:14,0.0,13.33,0.66
2026-02-16 15:25:19,0.0,13.33,0.53
2026-02-16 15:25:24,0.0,13.33,0.44
2026-02-16 15:25:29,0.0,13.33,0.38
2026-02-16 15:25:52,0.0,0.0,0.0
2026-02-16 15:25:57,0.0,0.0,0.0
2026-02-16 15:26:02,0.0,0.0,0.0
2026-02-16 15:26:07,0.04,3.4,0.17
2026-02-16 15:26:12,0.0,3.4,0.13
2026-02-16 15:26:17,0.0,3.4,0.11
2026-02-16 15:26:22,0.0,3.4,0.1
2026-02-16 15:26:27,0.0,3.4,0.08
2026-02-16 15:26:32,0.0,3.4,0.08
2026-02-16 15:26:41,0.0,0.0,0.0
2026-02-16 15:26:46,0.0,0.0,0.0
2026-02-16 15:26:51,0.02,1.7,0.11
2026-02-16 15:26:56,0.0,1.7,0.08
2026-02-16 15:27:01,0.0,1.7,0.07
2026-02-16 15:27:06,0.0,1.7,0.06
2026-02-16 15:27:37,0.0,0.0,0.0
2026-02-16 15:27:42,0.02,1.7,0.17
2026-02-16 15:27:47,0.0,1.7,0.11
2026-02-16 15:28:09,0.02,1.67,0.32
2026-02-16 15:28:14,0.0,1.67,0.16
2026-02-16 15:28:19,0.06,6.67,0.44
2026-02-16 15:28:24,0.02,8.33,0.41
2026-02-16 15:28:29,0.0,8.33,0.33
2026-02-16 15:28:34,0.0,8.33,0.28
2026-02-16 15:28:39,0.0,8.33,0.24
2026-02-16 15:28:55,0.0,0.0,0.0
2026-02-16 15:29:00,0.02,1.7,0.17
2026-02-16 15:29:05,0.0,1.7,0.11
2026-02-16 15:29:10,0.0,1.7,0.08
2026-02-16 15:29:15,0.0,1.7,0.07
2026-03-09 12:53:30,0.0,0.0,0.0
2026-03-09 12:53:35,0.0,0.0,0.0
2026-03-09 12:53:40,0.0,0.0,0.0
2026-03-09 12:53:45,0.0,0.0,0.0
2026-03-09 12:53:50,0.0,0.0,0.0
2026-03-09 12:53:55,0.0,0.0,0.0
2026-03-09 12:54:00,0.0,0.0,0.0
2026-03-09 12:54:05,0.0,0.0,0.0
2026-03-09 12:54:10,0.0,0.0,0.0
2026-03-09 12:54:15,0.0,0.0,0.0
2026-03-09 12:54:20,0.0,0.0,0.0
2026-03-09 12:54:25,0.0,0.0,0.0
2026-03-09 12:54:30,0.0,0.0,0.0
2026-03-09 12:54:35,0.0,0.0,0.0
2026-03-09 12:54:40,0.0,0.0,0.0
2026-03-09 12:54:45,0.0,0.0,0.0
2026-03-09 12:54:50,0.0,0.0,0.0
2026-03-09 12:54:55,0.0,0.0,0.0
2026-03-09 12:55:00,0.0,0.0,0.0
2026-03-09 12:55:05,0.0,0.0,0.0
2026-03-09 12:55:10,0.0,0.0,0.0
2026-03-09 12:55:15,0.0,0.0,0.0
2026-03-09 12:55:20,0.0,0.0,0.0
2026-03-09 12:55:25,0.0,0.0,0.0
2026-03-09 12:55:30,0.0,0.0,0.0
2026-03-09 12:55:35,0.0,0.0,0.0
2026-03-09 12:55:40,0.0,0.0,0.0
2026-03-09 12:55:45,0.0,0.0,0.0
2026-03-09 12:55:50,0.0,0.0,0.0
2026-03-09 12:55:55,0.0,0.0,0.0
2026-03-09 12:56:00,0.0,0.0,0.0
2026-03-09 12:56:05,0.0,0.0,0.0
2026-03-09 12:56:10,0.0,0.0,0.0
2026-03-09 12:56:15,0.0,0.0,0.0
2026-03-09 12:56:20,0.0,0.0,0.0
2026-03-09 12:56:25,0.0,0.0,0.0
2026-03-09 12:56:30,0.0,0.0,0.0
2026-03-09 12:56:35,0.0,0.0,0.0
2026-03-09 12:56:40,0.0,0.0,0.0
2026-03-09 12:56:45,0.0,0.0,0.0
2026-03-09 12:56:50,0.0,0.0,0.0
2026-03-09 12:56:55,0.0,0.0,0.0
2026-03-09 12:57:00,0.0,0.0,0.0
2026-03-09 12:57:05,0.0,0.0,0.0
2026-03-09 12:57:10,0.0,0.0,0.0
2026-03-09 12:57:15,0.0,0.0,0.0
2026-03-09 12:57:20,0.0,0.0,0.0
2026-03-09 12:57:25,0.0,0.0,0.0
2026-03-09 12:57:30,0.0,0.0,0.0
2026-03-09 13:00:48,0.0,0.0,0.0
2026-03-09 13:00:53,0.0,0.0,0.0
2026-03-09 13:00:58,0.0,0.0,0.0
2026-03-09 13:01:03,0.0,0.0,0.0
2026-03-09 13:01:08,0.0,0.0,0.0
2026-03-09 13:01:13,0.0,0.0,0.0
2026-03-09 13:01:18,0.0,0.0,0.0
2026-03-09 13:01:23,0.0,0.0,0.0
2026-03-09 13:01:28,0.0,0.0,0.0
2026-03-09 13:01:33,0.0,0.0,0.0
2026-03-09 13:01:38,0.0,0.0,0.0
2026-03-09 13:01:43,0.0,0.0,0.0
2026-03-09 13:01:48,0.0,0.0,0.0
2026-03-09 13:01:53,0.0,0.0,0.0
2026-03-09 13:01:58,0.0,0.0,0.0
2026-03-09 13:02:03,0.0,0.0,0.0
2026-03-09 13:02:08,0.0,0.0,0.0
2026-03-09 13:02:13,0.0,0.0,0.0
2026-03-09 13:02:18,0.0,0.0,0.0
2026-03-09 13:02:23,0.0,0.0,0.0
2026-03-09 13:02:28,0.0,0.0,0.0
2026-03-09 13:02:33,0.0,0.0,0.0
2026-03-09 13:02:38,0.0,0.0,0.0
2026-03-09 13:02:43,0.0,0.0,0.0
2026-03-09 13:02:48,0.0,0.0,0.0
2026-03-09 13:02:53,0.0,0.0,0.0
2026-03-09 13:02:58,0.0,0.0,0.0
2026-03-09 13:03:03,0.0,0.0,0.0
2026-03-09 13:03:08,0.0,0.0,0.0
2026-03-09 13:03:13,0.0,0.0,0.0
2026-03-09 13:03:18,0.0,0.0,0.0
2026-03-09 13:03:23,0.0,0.0,0.0
2026-03-09 13:03:28,0.0,0.0,0.0
2026-03-09 13:03:33,0.0,0.0,0.0
2026-03-09 13:03:38,0.0,0.0,0.0
2026-03-09 13:03:43,0.0,0.0,0.0
2026-03-09 13:03:48,0.0,0.0,0.0
2026-03-09 13:03:53,0.0,0.0,0.0
2026-03-09 13:03:58,0.0,0.0,0.0
2026-03-09 13:04:03,0.0,0.0,0.0
2026-03-09 13:04:08,0.0,0.0,0.0
2026-03-09 13:04:13,0.0,0.0,0.0
2026-03-09 13:04:18,0.0,0.0,0.0
2026-03-09 13:04:32,0.0,0.0,0.0
2026-03-09 13:04:37,0.0,0.0,0.0
2026-03-09 13:04:42,0.0,0.0,0.0
2026-03-09 13:04:47,0.0,0.0,0.0
2026-03-09 13:04:52,0.0,0.0,0.0
2026-03-09 13:04:57,0.0,0.0,0.0
2026-03-09 13:05:02,0.0,0.0,0.0
2026-03-09 13:05:07,0.0,0.0,0.0
2026-03-09 13:05:12,0.0,0.0,0.0
2026-03-09 13:05:17,0.0,0.0,0.0
2026-03-09 13:05:22,0.0,0.0,0.0
2026-03-09 13:05:27,0.0,0.0,0.0
2026-03-09 13:05:32,0.0,0.0,0.0
2026-03-09 13:05:37,0.0,0.0,0.0
2026-03-09 13:05:42,0.0,0.0,0.0
2026-03-09 13:05:47,0.0,0.0,0.0
2026-03-09 13:05:52,0.0,0.0,0.0
2026-03-09 13:05:57,0.0,0.0,0.0
2026-03-09 13:06:02,0.0,0.0,0.0
2026-03-09 13:06:07,0.0,0.0,0.0
2026-03-09 13:06:12,0.0,0.0,0.0
2026-03-09 13:06:17,0.0,0.0,0.0
2026-03-09 13:06:22,0.0,0.0,0.0
2026-03-09 13:06:27,0.0,0.0,0.0
2026-03-09 13:06:32,0.0,0.0,0.0
2026-03-09 13:06:37,0.0,0.0,0.0
2026-03-09 13:06:42,0.0,0.0,0.0
2026-03-09 13:06:47,0.0,0.0,0.0
2026-03-09 13:06:52,0.0,0.0,0.0
2026-03-09 13:06:57,0.0,0.0,0.0
2026-03-09 13:07:02,0.0,0.0,0.0
2026-03-09 13:07:07,0.0,0.0,0.0
2026-03-09 13:07:12,0.0,0.0,0.0
2026-03-09 13:07:17,0.0,0.0,0.0
2026-03-09 13:07:22,0.0,0.0,0.0
2026-03-09 13:07:27,0.0,0.0,0.0
2026-03-09 13:07:32,0.0,0.0,0.0
2026-03-09 13:07:37,0.0,0.0,0.0
2026-03-09 13:07:42,0.0,0.0,0.0
2026-03-09 13:07:47,0.0,0.0,0.0
2026-03-09 13:07:52,0.0,0.0,0.0
